iter	MultiClass
0	1.095983557
1	1.093873504
2	1.090224174
3	1.087963677
4	1.085079993
5	1.083051022
6	1.080306216
7	1.077705144
8	1.075142429
9	1.072583881
10	1.070795398
11	1.068633686
12	1.066780862
13	1.064046143
14	1.061092481
15	1.059231332
16	1.056428063
17	1.054050305
18	1.051978831
19	1.049585777
20	1.049193624
21	1.047309456
22	1.044180697
23	1.040977739
24	1.03854075
25	1.037017782
26	1.035371165
27	1.033333603
28	1.031859133
29	1.029003528
30	1.027352301
31	1.024358004
32	1.022937384
33	1.021751986
34	1.020369813
35	1.018498327
36	1.016313894
37	1.014433355
38	1.012458864
39	1.009285334
40	1.007403657
41	1.004991489
42	1.003357533
43	1.001193013
44	0.998166997
45	0.9964772287
46	0.9936064894
47	0.9928465026
48	0.9902434437
49	0.9877421309
50	0.9861897609
51	0.9832250973
52	0.982514443
53	0.980797518
54	0.979148511
55	0.9766660885
56	0.974697763
57	0.9733562416
58	0.9715180036
59	0.9704916514
60	0.9690889935
61	0.9677969009
62	0.9656071562
63	0.9642947448
64	0.9631133975
65	0.9617250668
66	0.9606695277
67	0.9594898979
68	0.9579663477
69	0.9567299033
70	0.9551227445
71	0.9528167014
72	0.950868482
73	0.9498741506
74	0.9483821412
75	0.9466115267
76	0.9456096407
77	0.9440147699
78	0.9422458825
79	0.9407100387
80	0.9396515272
81	0.9377842904
82	0.9359717072
83	0.9342632004
84	0.9327090806
85	0.9306473584
86	0.9292345801
87	0.9279467773
88	0.9277215387
89	0.9255982073
90	0.9234338267
91	0.9218135426
92	0.9200409367
93	0.9185313976
94	0.9180806956
95	0.9166041522
96	0.9152987561
97	0.9133473434
98	0.9109724116
99	0.9099530341
100	0.908415517
101	0.9057490448
102	0.9044941051
103	0.9029749791
104	0.9026582292
105	0.9018105997
106	0.9006856127
107	0.9001115627
108	0.8987559718
109	0.8983952732
110	0.8968114752
111	0.8946021823
112	0.8931705099
113	0.8918497581
114	0.889951534
115	0.8883168522
116	0.8868135811
117	0.8853911152
118	0.8839775986
119	0.8825287908
120	0.8809487764
121	0.8792967103
122	0.8775339533
123	0.8762921193
124	0.874937727
125	0.8736892363
126	0.8728071092
127	0.8713743508
128	0.8700030801
129	0.8690201352
130	0.8679725454
131	0.866781518
132	0.8646680712
133	0.8636586105
134	0.8624428401
135	0.8608160033
136	0.8588758095
137	0.8575849769
138	0.8565549773
139	0.8552496225
140	0.8546540801
141	0.8526945764
142	0.8510015251
143	0.8491388743
144	0.8469784565
145	0.8450231477
146	0.8434535903
147	0.8422413732
148	0.8404711833
149	0.8393782867
150	0.8378436448
151	0.8359541478
152	0.8346912884
153	0.8346795487
154	0.8330880632
155	0.8315305417
156	0.8310667036
157	0.8302599224
158	0.8292137249
159	0.8276756378
160	0.8263752096
161	0.8246178188
162	0.823709933
163	0.8219978011
164	0.8205939538
165	0.8190940565
166	0.8180978063
167	0.8168455493
168	0.8157404336
169	0.8146863623
170	0.8130328348
171	0.8123803371
172	0.8109741417
173	0.8098797362
174	0.8085147383
175	0.8072711002
176	0.806710868
177	0.8066664527
178	0.8055592279
179	0.8043089699
180	0.802482484
181	0.8015849946
182	0.800496113
183	0.799392338
184	0.7991015094
185	0.7971508313
186	0.7969112052
187	0.7955123515
188	0.7946617493
189	0.7929538357
190	0.7912906857
191	0.7902368976
192	0.7901887938
193	0.788550792
194	0.7870601415
195	0.7857266772
196	0.7846536923
197	0.7832299542
198	0.7822494745
199	0.7806066374
200	0.779922586
201	0.7789461773
202	0.7780415596
203	0.7767226661
204	0.775501195
205	0.7738570119
206	0.7730415607
207	0.7717861421
208	0.7698232185
209	0.7690854635
210	0.7689097624
211	0.7671350264
212	0.7658579417
213	0.7639509719
214	0.7629220977
215	0.761884526
216	0.761540273
217	0.7601569832
218	0.7591848029
219	0.7578014616
220	0.7561508328
221	0.755047563
222	0.7542472388
223	0.7531118199
224	0.7518407809
225	0.7501190771
226	0.7488819183
227	0.7478311608
228	0.747002477
229	0.7461352564
230	0.7446255692
231	0.7432130486
232	0.7425874344
233	0.7417762058
234	0.7406435764
235	0.7394172747
236	0.7382654382
237	0.7373898629
238	0.7364075206
239	0.7354841637
240	0.7345314583
241	0.7335231575
242	0.7331785373
243	0.7319229842
244	0.7305637354
245	0.7287623529
246	0.7277049251
247	0.7266832695
248	0.7253354083
249	0.7239154366
250	0.723360789
251	0.7222929009
252	0.7210540991
253	0.7199658674
254	0.7195477154
255	0.7183790048
256	0.7174500229
257	0.7162299788
258	0.71518249
259	0.7139882906
260	0.7132401867
261	0.7121509814
262	0.710947677
263	0.7102303828
264	0.7089906802
265	0.7082784687
266	0.7072822516
267	0.7059973623
268	0.7049573037
269	0.704330845
270	0.7034373291
271	0.7019153134
272	0.7007407066
273	0.6995946385
274	0.6981679977
275	0.69691004
276	0.6959459578
277	0.6953225217
278	0.6944191765
279	0.6933554373
280	0.6924803434
281	0.6914587775
282	0.6896191666
283	0.6886629148
284	0.6878207257
285	0.6866844771
286	0.6859434246
287	0.6848458866
288	0.6838203412
289	0.6825742407
290	0.6818506462
291	0.6806334392
292	0.6797698867
293	0.6786663932
294	0.6783173817
295	0.6773688723
296	0.6766615379
297	0.6756270423
298	0.6744284358
299	0.6732847857
300	0.6722954058
301	0.6709738262
302	0.6699151649
303	0.668809043
304	0.6675511679
305	0.6664992315
306	0.6656789707
307	0.6648883431
308	0.663748999
309	0.6631049852
310	0.6622122489
311	0.661267134
312	0.6596638865
313	0.658786511
314	0.6570364811
315	0.6562043013
316	0.6554036693
317	0.6539777294
318	0.6527392905
319	0.6512416037
320	0.6500414808
321	0.6487395433
322	0.6481272196
323	0.6478351088
324	0.6469170891
325	0.6467090006
326	0.6453903539
327	0.6443392092
328	0.6431060612
329	0.642079052
330	0.6412075562
331	0.6401438192
332	0.6390466464
333	0.6382180211
334	0.6369438327
335	0.6353428851
336	0.6339974365
337	0.6324069692
338	0.6308767645
339	0.6292982873
340	0.6282092999
341	0.6272326012
342	0.6261281638
343	0.6250153517
344	0.6239744528
345	0.6231701353
346	0.6222085367
347	0.6209968331
348	0.6200680948
349	0.619055503
350	0.6180394102
351	0.6167424994
352	0.6158144178
353	0.6152282989
354	0.6143844599
355	0.6132817819
356	0.6121182953
357	0.6114030264
358	0.6105153319
359	0.609133375
360	0.6077997452
361	0.6064097681
362	0.6051785891
363	0.6041465901
364	0.6023985302
365	0.6009638111
366	0.5998077307
367	0.5987172358
368	0.5973403327
369	0.5955404369
370	0.5940982903
371	0.5933726201
372	0.5921337492
373	0.5904464939
374	0.5892963449
375	0.5882018145
376	0.5872668121
377	0.5863830461
378	0.5850359535
379	0.583631996
380	0.5820244033
381	0.5805964664
382	0.5791474819
383	0.5778991838
384	0.5767148769
385	0.5757106749
386	0.5745062085
387	0.5733601145
388	0.572040569
389	0.5710851192
390	0.5699249651
391	0.5687252275
392	0.5675620776
393	0.56684042
394	0.565899795
395	0.5646328432
396	0.5637002581
397	0.5622226493
398	0.5606930849
399	0.5593406871
400	0.5583793067
401	0.5569775353
402	0.5556658569
403	0.5545054189
404	0.5533050233
405	0.5523519552
406	0.5511652878
407	0.5501102845
408	0.5489888924
409	0.548111988
410	0.5468754568
411	0.5456494697
412	0.5439522809
413	0.5429024824
414	0.5416266837
415	0.5402589734
416	0.5390451712
417	0.5373152916
418	0.5358715751
419	0.5350896429
420	0.5336346478
421	0.5323218016
422	0.5315471375
423	0.5305640543
424	0.5294968543
425	0.5281447747
426	0.5268068163
427	0.5259115665
428	0.524816326
429	0.5242158697
430	0.5233860101
431	0.5222766891
432	0.5212268088
433	0.5199868238
434	0.5189347611
435	0.517465641
436	0.5161353116
437	0.5151355767
438	0.5139040555
439	0.5128360353
440	0.5116872553
441	0.5104242199
442	0.5094806535
443	0.5083402626
444	0.507238531
445	0.506101801
446	0.5048476464
447	0.5039499536
448	0.5029746836
449	0.5017598115
450	0.5004229444
451	0.4993266382
452	0.4981922497
453	0.4974087438
454	0.4965857896
455	0.4951632996
456	0.4939251354
457	0.4930202752
458	0.4923457672
459	0.4915040893
460	0.490826796
461	0.4901558061
462	0.4892793905
463	0.4885905125
464	0.4872694913
465	0.4862758456
466	0.485103789
467	0.483966918
468	0.4832395061
469	0.4822188675
470	0.4813057338
471	0.4799391463
472	0.4790182339
473	0.4778870713
474	0.4770481852
475	0.4760085638
476	0.4747577626
477	0.47373987
478	0.4722361538
479	0.4710182539
480	0.4702625995
481	0.4692532068
482	0.468648874
483	0.4674607815
484	0.4664800274
485	0.4655012548
486	0.4642532317
487	0.4635288808
488	0.4624119228
489	0.4615794869
490	0.460602534
491	0.4597854143
492	0.4585441722
493	0.4576587617
494	0.456999785
495	0.4559653456
496	0.4550017464
497	0.4540182037
498	0.4534539611
499	0.4526475212
500	0.4516339342
501	0.4507928439
502	0.4500417004
503	0.4490627065
504	0.4484279888
505	0.4473213524
506	0.4462348959
507	0.4453208709
508	0.4443724881
509	0.4435764414
510	0.4426644094
511	0.4418965054
512	0.4410901212
513	0.4399630936
514	0.4390915885
515	0.4384878728
516	0.437573812
517	0.4368308007
518	0.4360364855
519	0.4349843927
520	0.4339967807
521	0.4333460072
522	0.4324556383
523	0.4315742686
524	0.4307078742
525	0.4296224241
526	0.4285411617
527	0.4277339444
528	0.4268040918
529	0.4258817684
530	0.4251565708
531	0.4242889396
532	0.4235862604
533	0.4228412972
534	0.4217534836
535	0.4208192758
536	0.4197950654
537	0.41902718
538	0.4183364223
539	0.4177063381
540	0.4168944572
541	0.4155444728
542	0.4149334727
543	0.4139390678
544	0.413143679
545	0.4123233021
546	0.4117104508
547	0.4112462758
548	0.4108875053
549	0.4100075729
550	0.4091841673
551	0.408130334
552	0.4077469074
553	0.4069544907
554	0.4059869897
555	0.404893516
556	0.4042271114
557	0.4036736662
558	0.4027872859
559	0.4021179516
560	0.4018559956
561	0.4012915708
562	0.4005792961
563	0.3999371383
