iter	Passed	Remaining
0	54	54907
1	113	56714
2	186	61989
3	214	53488
4	278	55441
5	339	56196
6	406	57603
7	465	57698
8	528	58152
9	546	54071
10	603	54246
11	662	54538
12	722	54846
13	778	54794
14	843	55375
15	902	55491
16	969	56057
17	1033	56398
18	1106	57152
19	1178	57749
20	1246	58088
21	1312	58346
22	1418	60256
23	1517	61722
24	1609	62778
25	1686	63180
26	1762	63512
27	1824	63336
28	1895	63473
29	1917	62014
30	1984	62040
31	2052	62087
32	2125	62290
33	2185	62085
34	2254	62150
35	2363	63280
36	2438	63462
37	2508	63497
38	2581	63617
39	2651	63638
40	2730	63868
41	2805	63994
42	2881	64135
43	2950	64105
44	3020	64101
45	3090	64097
46	3159	64055
47	3210	63683
48	3273	63529
49	3328	63246
50	3402	63313
51	3467	63214
52	3531	63094
53	3590	62902
54	3657	62843
55	3714	62616
56	3783	62597
57	3844	62440
58	3910	62367
59	3963	62101
60	4025	61962
61	4080	61735
62	4146	61675
63	4203	61478
64	4266	61372
65	4317	61094
66	4382	61025
67	4442	60887
68	4462	60214
69	4516	60010
70	4570	59801
71	4639	59792
72	4692	59583
73	4754	59499
74	4814	59378
75	4888	59436
76	4947	59306
77	5019	59336
78	5085	59292
79	5153	59264
80	5212	59144
81	5276	59072
82	5331	58905
83	5397	58857
84	5453	58701
85	5517	58641
86	5573	58494
87	5635	58404
88	5688	58225
89	5750	58143
90	5806	58004
91	5869	57929
92	5919	57733
93	5980	57642
94	6030	57452
95	6100	57441
96	6240	58093
97	6318	58152
98	6396	58218
99	6460	58148
100	6514	57986
101	6577	57910
102	6635	57785
103	6701	57733
104	6759	57617
105	6823	57546
106	6834	57041
107	6884	56857
108	6948	56797
109	7006	56687
110	7073	56648
111	7129	56527
112	7188	56430
113	7245	56312
114	7309	56248
115	7366	56136
116	7400	55848
117	7451	55699
118	7509	55595
119	7566	55486
120	7624	55387
121	7681	55282
122	7741	55194
123	7766	54863
124	7828	54797
125	7881	54669
126	7938	54568
127	7991	54441
128	8048	54340
129	8099	54204
130	8121	53874
131	8171	53735
132	8233	53669
133	8284	53538
134	8306	53221
135	8355	53084
136	8415	53010
137	8470	52912
138	8528	52829
139	8580	52710
140	8637	52623
141	8690	52507
142	8749	52436
143	8800	52314
144	8858	52237
145	8909	52114
146	8966	52027
147	9017	51910
148	9077	51846
149	9129	51735
150	9187	51654
151	9239	51545
152	9310	51542
153	9363	51438
154	9424	51381
155	9477	51273
156	9535	51200
157	9589	51105
158	9646	51020
159	9696	50905
160	9753	50829
161	9805	50721
162	9864	50651
163	9915	50544
164	9969	50453
165	10020	50345
166	10092	50342
167	10234	50684
168	10314	50718
169	10376	50663
170	10436	50595
171	10488	50490
172	10544	50407
173	10551	50090
174	10601	49976
175	10662	49920
176	10713	49813
177	10768	49727
178	10819	49622
179	10874	49541
180	10925	49438
181	10983	49366
182	11034	49261
183	11090	49184
184	11141	49082
185	11200	49017
186	11257	48944
187	11315	48875
188	11365	48770
189	11428	48720
190	11478	48618
191	11535	48546
192	11592	48471
193	11652	48412
194	11705	48322
195	11762	48248
196	11814	48158
197	11871	48085
198	11928	48012
199	11985	47943
200	12038	47853
201	12094	47779
202	12147	47692
203	12210	47643
204	12263	47558
205	12291	47374
206	12342	47281
207	12399	47215
208	12454	47134
209	12511	47065
210	12563	46977
211	12619	46906
212	12679	46847
213	12744	46807
214	12787	46688
215	12851	46646
216	12903	46559
217	12962	46497
218	13015	46415
219	13075	46357
220	13126	46270
221	13185	46207
222	13241	46137
223	13298	46068
224	13321	45883
225	13379	45820
226	13433	45743
227	13495	45696
228	13549	45619
229	13605	45549
230	13660	45476
231	13722	45425
232	13777	45353
233	13845	45322
234	13904	45264
235	13962	45199
236	13979	45006
237	14034	44933
238	14089	44862
239	14147	44800
240	14160	44597
241	14215	44525
242	14271	44458
243	14329	44399
244	14381	44319
245	14443	44270
246	14495	44191
247	14559	44148
248	14611	44068
249	14667	44003
250	14720	43926
251	14778	43866
252	14831	43791
253	14888	43726
254	14942	43655
255	14999	43593
256	15052	43516
257	15109	43454
258	15159	43371
259	15218	43313
260	15276	43253
261	15334	43193
262	15386	43116
263	15450	43074
264	15502	42997
265	15560	42936
266	15614	42865
267	15671	42803
268	15725	42732
269	15785	42678
270	15838	42605
271	15901	42561
272	15955	42489
273	16012	42427
274	16070	42368
275	16088	42203
276	16137	42119
277	16196	42063
278	16254	42004
279	16311	41943
280	16362	41866
281	16419	41805
282	16469	41725
283	16526	41665
284	16581	41598
285	16643	41549
286	16696	41480
287	16751	41413
288	16804	41341
289	16858	41273
290	16917	41218
291	16975	41159
292	17028	41089
293	17097	41057
294	17157	41002
295	17214	40943
296	17280	40903
297	17336	40839
298	17391	40774
299	17453	40724
300	17507	40655
301	17564	40595
302	17620	40531
303	17681	40482
304	17734	40412
305	17791	40351
306	17844	40281
307	17901	40221
308	17969	40183
309	18036	40145
310	18062	40015
311	18122	39962
312	18189	39924
313	18337	40062
314	18411	40037
315	18494	40032
316	18564	39998
317	18632	39960
318	18694	39909
319	18761	39868
320	18824	39819
321	18887	39770
322	18952	39724
323	19024	39692
324	19092	39653
325	19159	39612
326	19220	39556
327	19286	39513
328	19350	39464
329	19418	39424
330	19479	39369
331	19548	39333
332	19612	39284
333	19680	39242
334	19743	39192
335	19809	39147
336	19870	39092
337	19940	39055
338	20000	38998
339	20068	38956
340	20127	38898
341	20192	38850
342	20251	38790
343	20315	38741
344	20378	38689
345	20444	38644
346	20505	38587
347	20570	38540
348	20631	38484
349	20697	38438
350	20763	38391
351	20832	38350
352	20897	38302
353	20964	38257
354	21026	38203
355	21096	38163
356	21166	38123
357	21233	38077
358	21290	38014
359	21351	37957
360	21404	37888
361	21463	37827
362	21518	37760
363	21577	37700
364	21636	37640
365	21704	37598
366	21764	37538
367	21834	37498
368	21888	37429
369	21955	37383
370	22017	37328
371	22088	37289
372	22159	37248
373	22228	37205
374	22288	37147
375	22362	37111
376	22418	37046
377	22476	36984
378	22528	36912
379	22588	36854
380	22648	36796
381	22723	36761
382	22786	36708
383	22855	36663
384	22925	36620
385	23031	36635
386	23098	36587
387	23170	36546
388	23234	36494
389	23304	36450
390	23368	36396
391	23436	36350
392	23512	36315
393	23618	36326
394	23686	36278
395	23781	36272
396	23874	36262
397	23945	36218
398	24022	36184
399	24110	36165
400	24201	36150
401	24263	36092
402	24323	36031
403	24394	35987
404	24452	35924
405	24510	35860
406	24573	35803
407	24645	35759
408	24700	35691
409	24766	35639
410	24823	35574
411	24885	35516
412	24953	35465
413	25011	35402
414	25063	35330
415	25126	35274
416	25200	35232
417	25272	35188
418	25327	35120
419	25386	35057
420	25445	34995
421	25528	34965
422	25626	34955
423	25731	34955
424	25804	34912
425	25893	34888
426	25962	34839
427	26043	34806
428	26123	34770
429	26217	34752
430	26286	34703
431	26356	34653
432	26417	34592
433	26484	34539
434	26545	34479
435	26617	34431
436	26683	34376
437	26754	34328
438	26819	34272
439	26888	34221
440	26957	34170
441	27024	34117
442	27090	34062
443	27169	34023
444	27242	33976
445	27312	33925
446	27384	33877
447	27465	33841
448	27534	33789
449	27616	33753
450	27687	33703
451	27765	33662
452	27840	33617
453	27922	33581
454	27995	33532
455	28072	33489
456	28137	33432
457	28214	33389
458	28275	33326
